"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H4","All","26","All countries  All --- All  ","WLD"," World",2020,"Import",5,289081820.005
"H4","All","26","All countries  All --- All  ","WLD"," World",2021,"Export",6,374302198.805
"H4","All","26","All countries  All --- All  ","WLD"," World",2021,"Import",5,433239395.941
"H4","All","26","All countries  All --- All  ","WLD"," World",2022,"Export",6,305369794.005
"H4","All","26","All countries  All --- All  ","WLD"," World",2022,"Import",5,370698328.425
"H4","All","26","All countries  All --- All  ","WLD"," World",2023,"Export",6,318195943.991
"H4","All","26","All countries  All --- All  ","WLD"," World",2023,"Import",5,369249391.227
"H4","All","26","All countries  All --- All  ","WLD"," World",2024,"Export",6,307192035.514
"H4","All","26","All countries  All --- All  ","WLD"," World",2024,"Import",5,380000886.917
"H4","All","26","All countries  All --- All  ","WLD"," World",2025,"Export",6,241815403.595
"H4","All","26","All countries  All --- All  ","WLD"," World",2025,"Import",5,62141143.542
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2014,"Export",6,2671813832.835
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2014,"Import",5,2975592756.683
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2015,"Export",6,1675222617.77
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2015,"Import",5,1849579588.924
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2016,"Export",6,1388340596.107
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2016,"Import",5,1528476341.125
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2017,"Export",6,1813736987.367
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2017,"Import",5,2005979496.233
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2018,"Export",6,2292878308.114
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2018,"Import",5,2566626840.989
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2019,"Export",6,2180243867.078
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2019,"Import",5,2362979752.007
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2020,"Export",6,1470414852.842
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2020,"Import",5,1610215302.754
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2021,"Export",6,2374902780.571
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2021,"Import",5,2599233209.843
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2022,"Export",6,3470614073.743
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2022,"Import",5,4166674441.39
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2023,"Export",6,2739697002.865
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2023,"Import",5,3308628096.382
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2024,"Export",6,2295688418.123
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2024,"Import",5,2967668756.46
"H4","All","27","All countries  All --- All  ","All","All countries  All --- All  ",2025,"Export",6,1104596416.192
